id,title,author,category,ean_isbn13,upc_isbn10,description,publisher,publish_date,added,length
11,A Christian Manifesto,Francis Schaeffer,Apologetics,,0891072330,16th Printing,NIMS Communications (in Partnership with Crossway),1987-01-01,2023-06-17,147
12,A Christian Manifesto,Francis A. Schaefffer,Apologetics,,0891072330,,Crossway Books,1981-01-01,2023-06-17,
13,A Geerhardus Vos Anthology: Biblical and Theological Insights Alphabetically Arranged,Geerhardus Vos,"Dictionaries, Concordance, etc.",9780875526188,0875526187,"Over a period of sixty-four years, Geerhardus Vos &quot;put before Christendom an unmatched Reformed biblical-theological corpus,&quot; writes Danny E. Olinger. &quot;In [these] books, reviews, articles, sermons, and poems, Vos consistently labored to show that the diverse strands of biblical revelation from Genesis to Revelation are centered in Jesus Christ. . . .&quot; For the first time, passages have been extracted from Vos&rsquo;s published and unpublished writings and organized by subject, giving twenty-first&ndash;century readers an unparalleled opportunity to learn firsthand what Vos wrote on more than 350 topics.",P & R Publishing,2005-03-04,2023-06-17,375
14,A History of the Christian Church,Wilston Walker,Church History,,0567023508,,Charles Scribner's Son,,2023-05-20,
15,A Hunger for God: Desiring God Through Fasting and Prayer,John Piper,Christian Living,9780851111933,0851111939,"Do you have a hunger for God? There is an appetite for God. And it can be awakened. Piper invites us to turn from the dulling effects of food and the dangers of idolatry, and to say with a simple fast: &quot;This much, O God, I want you.&quot;",Inter-Varsity Press,,2023-06-17,239
16,A Lifting Up for the Downcast,William Bridge,Puritan Works,9781848716858,1848716850,"These thirteen sermons on Psalm 42:11, preached at Stepney, London, in the year 1648 are the work of a true physician of souls. In dealing with believers suffering from spiritual depression, Bridge manifests great insight into the causes of the saints’ discouragements such as great sins, weak grace, failure in duties, want of assurance, temptation, desertion and affliction. A correct diagnosis is more than half the cure but Bridge does not leave his readers there. He gives directions for applying the remedy. For example in dealing with ‘great sins’ he says, ‘If you would be truly humbled and not be discouraged; not be discouraged and yet be humbled; then beat and drive up all your sin to your unbelief, and lay the stress and weight of all your sorrow upon that sin.’ The general causes of spiritual depression are the same in every age. Downcast Christians of the twenty-first century can find help here as surely as did past generations.",Banner of Truth,2021-09-07,2023-05-20,384
17,A Passion for Holiness,J. I. Packer,Christian Living,9781856840439,1856840433,"As Christians succumb more and more to materialism, holiness is becoming the forgotten virtue of the church. Yet as the Bible makes clear, holiness is high on God's priorities for his people.

J. I. Packer brings us back to where God wants us to be. He shows us that holiness is nothing less than a lifelong passion for loving God and following his ways.",Crossway Books,1992-09-01,2023-05-20,276
18,A plea for unity (John MacArthur's bible studies),John MacArthur,Commentaries,9780802453662,080245366X,spiritual inspiration,Moody Press,1990-01-01,2023-06-17,68
19,A Puritan Theology: Doctrine for Life,"Joel R. Beeke, Mark Jones",Systematic Theology,9781601781666,1601781660,"A Puritan Theology: Doctrine for Life offers a groundbreaking treatment of the Puritans teaching on most major Reformed doctrines, particularly those doctrines in which the Puritans made significant contributions. Since the late 1950s, nearly 150 Puritan authors and 700 Puritan titles have been reprinted and catalogued by Joel Beeke and Randall Pederson in their 2006 collection of mini-biographies and book reviews, titled, Meet the Puritans. However, no work until now has gathered together the threads of their teaching into a unified tapestry of systematic theology.  A Puritan Theology, by Joel Beeke and Mark Jones, attempts to do that. The book addresses Puritan teachings on all six loci of theology, covering fifty areas of doctrine. The book explores Puritan teachings on biblical interpretation, God, predestination, providence, angels, sin, the covenants, the gospel, Christ, preparation for conversion, regeneration, coming to Christ, justification, adoption, church government, the Sabbath, preaching, baptism, heaven, hell, and many other topics. It ends with eight chapters that explore Puritan theology in practice. Some chapters highlight the work of a specific theologian such as William Perkins, William Ames, John Owen, Stephen Charnock, or Thomas Goodwin on a specific topic. Other chapters survey various authors on a particular subject. The goal of A Puritan Theology is to increase knowledge in the mind and godliness in the soul. It was written for theologians, historians, pastors, and educated laymen who seek to learn more about Puritan theology.",Reformation Heritage Books,2012-10-12,2023-05-20,1060
20,A Select Library of Nicene and Post-Nicene Fathers of the Christian Church,"Philip Schaff, Henry Wace",Church History,9781148977188,114897718X,"This is a reproduction of a book published before 1923. This book may have occasional imperfections such as missing or blurred pages, poor pictures, errant marks, etc. that were either part of the original artifact, or were introduced by the scanning process. We believe this work is culturally important, and despite the imperfections, have elected to bring it back into print as part of our continuing commitment to the preservation of printed works worldwide. We appreciate your understanding of the imperfections in the preservation process, and hope you enjoy this valuable book.","Creative Media Partners, LLC",2010-04-01,2023-06-17,524
21,A Survey of the New Testament,Robert H. Gundry,New Testament Studies,,0310254108,,Zondervan Publishing House,1980-01-01,2023-06-17,
22,"A Tale of Two Sons: The Inside Story of a Father, His Sons, and a Shocking Murder",John MacArthur,New Testament Studies,9780785262688,0785262687,"Previously published as A Tale of Two Sons Charles Dickens. William Shakespeare. Garrison Keillor. They&rsquo;re all part of the chorus of literary geniuses who expressed admiration for The Parable of the Prodigal Son as outstanding literature. After all, it is a powerful drama, rich in detail, powerfully succinct, and intensely personal. But beyond the literary critiques&mdash;besides being one of the most celebrated written works of all time&mdash;the message of this parable is one we can&rsquo;t afford to ignore. In The Prodigal Son, John MacArthur takes the story back to its roots, when Jesus&rsquo; words were absolutely revolutionary. As one of America&rsquo;s most beloved Bible teachers, MacArthur leads us through the minefields of interpretation and restores the simple yet profound brilliance of this passage. Giving engrossing historical background,&nbsp;The Prodigal Son&nbsp;will reveal Christ&rsquo;s original message as intended for the Pharisees, the disciples, and the world today.&nbsp;&nbsp; Gain an enlightening perspective into the prodigal son&rsquo;s story and embrace God&rsquo;s love anew with The Prodigal Son.  &nbsp;",Thomas Nelson,2008-04-01,2023-06-17,240
23,A Theology of Mark: The Dynamic Between Christology and Authentic Discipleship (Explorations in Biblical Theology),Hans F. Bayer,Biblical Theology,9781596381193,1596381191,"Sincere Christians hold divergent ideas about discipleship. Different approaches focus on steps to follow, mentoring, spiritual disciplines, or an intellectual approach, but do they draw their definitions from Scripture&#039;s big picture? Do they draw enough attention to Jesus&#039; view of discipleship?By exploring Jesus&#039; approach to discipleship, Bayer shows how God-perception and self-perception, simultaneously shaped by the gospel, result in reconciled relationships and radical discipleship.The Explorations in Biblical Theology series addresses the need for quality literature that attracts believing readers to good theology and builds them up in their faith. Each title in the series combines solid content with accessibility and readability--a valuable addition to the library of any college student, thoughtful lay reader, seminarian, or pastor.",P & R Publishing,2012-04-20,2023-05-20,240
24,A Treasury of the Essay,"Homer C. Combs, Ed.",Collected Works,,,From Montaigne to E. B. White,"Spencer Press, Inc.",1995-01-01,2023-06-17,
25,A Treasury of the World’s Great Speeches,,Collected Works,,,,Grolier Incorporated New York,1965-01-01,2023-06-17,
26,A Way to Pray,Matthew Henry,Christian Living,9781848710870,1848710879,"Most evangelical Christians know of Matthew Henry&#039;s Commentary on the Bible, but few are as familiar with his A Method for Prayer, with Scripture Expressions Proper to Be Used under Each Head (1710). This work consists almost entirely of Scripture, arranged under various headings, to help Christians to pray in harmony with the truth of God, revealed in his Word. First published three hundred years ago, it has been revised and updated by O. Palmer Robertson to allow the language of prayer to be expressed in today&#039;s idiom. It is sent out in the confidence that God will continue to honour his own Word, as it is redirected back to him in the form of heartfelt prayer.",Banner of Truth,2010-10-01,2023-05-20,440
27,Abingdon Bible Handbook,Edward P. Blair,"Dictionaries, Concordance, etc.",,,,,,2023-06-17,
28,According To Plan,Graeme Goldsworthy,Biblical Theology,9780851109558,0851109551,,Inter Varsity Press ? Lancer,1991-01-01,2023-06-17,320
29,Acquainted with Grief,Thomas Alan Harvey,Biographies,978158743039,1587430592,Wang Mingdao’s Stand for the Persecuted Church in China,Brazos Press,2002-01-01,2023-06-17,190
30,Acts 1-3 (Authentic Christianity; Sermons on the Acts of the Apostles) (Vol 1),Martyn Lloyd-Jones,Commentaries,9780851517766,0851517765,,Banner of Truth,2000-08-31,2023-06-17,336
31,Acts: An Expositional Commentary,James Montgomery Boice,New Testament Studies,9780801011375,080101137X,"James Montgomery Boice challenges believers to follow the first-century church, encouraging them to glean the vital principles that enabled the early church to expand, and then to apply them to our modern day church.",Baker Books,,2023-06-17,454
32,Addicted to Mediocrity,Franky Schaeffer,Apologetics,,0891072144,,,,2023-05-20,
33,All Of Grace,C H Spurgeon,Christian Living,9780883688571,0883688573,"C. H. Spurgeon outlines the plan of salvation in such clear, simple language that everyone can understand and be drawn to the Father. Any attempt to please God based upon our own works brings only self–righteousness and coldness of heart. It is God's free grace that makes the heart glow with thankfulness for His love. This classic is summed up in Spurgeon's final cry to the reader, ""Meet me in heaven!""",Whitaker House,2002-12-09,2023-05-20,768
34,All The Children of The Bible,Herbert Lockyer,"Dictionaries, Concordance, etc.",,,,Zondervan Publishing Home,1970-01-01,2023-06-17,
35,All the Messianic Prophecies of the Bible,Herbert Lockyer,"Dictionaries, Concordance, etc.",9780310280910,0310280915,"A Fascinating Look at How Biblical Prophecies Paved the Way for Jesus Christ In this remarkable volume, Dr. Herbert Lockyer examines all the prophecies in Scripture concerning the promised Messiah, his ministry, and his message. From the mundane to the mystifying, you&#039;ll get a close look at how different prophecies portrayed with stunning accuracy the coming Christ: his ancestry, his birth, his character, his death and resurrection, and more. Divided in two sections, All the Messianic Prophecies of the Bible helps you understand not only &#039;Specific Messianic Prophecies,&#039; but also &#039;Symbolic Messianic Prophecies.&#039;",Zondervan,1988-10-12,2023-06-17,528
36,All the Miracles of the Bible,Herbert Lockyer,"Dictionaries, Concordance, etc.",,,The SupernaturL in Scripture- Its Scope and Significance,Zondervan Publishing House,1961-01-01,2023-06-17,
37,All the Parables of the Bible,Herbert Lockyer,"Dictionaries, Concordance, etc.",,,,Zondervan Publishing House,1963-01-01,2023-06-17,
38,All Things Made New (Puritan Paperbacks),John Flavel,Puritan Works,9781848717336,1848717334,"John Flavel for the Christian LifeSelected and Edited by Lewis AllenNumerous stories are told from John Flavel's life of how people 'happened to meet him' and came away deeply thankful to God, full of resolve to walk with Christ as a result. The same is true of encounters made with Flavel's writings, as in All Things Made New.Flavel spent almost his entire ministry in a busy town serving working people. He believed that the gospel impacts and shapes every thought, every feeling, every ambition, emotion, desire, success, tragedy and joy. Christ makes all things new for the believer, and teaches us to follow him with confidence, until that day when he truly renews all things. To read Flavel is to catch and to be changed by the same vision.",Banner of Truth,2017-09-08,2023-05-20,320
39,Always Ready: Directions for Defending the Faith,Greg L. Bahnsen,Apologetics,9780915815289,0915815281,"This book is a compilation of several of Dr. Bahnsen&#039;s published works on Christian apologetics, including his Apologetics syllabus, articles on practical apologetic problems (like the problem of evil, the problem of miracles, etc.), and an exposition of Acts 17.  (paper)",Covenant Media Press,,2023-05-20,289
40,"An Ark For All God's Noahs: In a Gloomy, Stormy Day",Thomas Brooks,Puritan Works,9781848715738,1848715730,,Banner of Truth,2020-11-24,2023-05-20,288
41,"An Old Testament Theology: An Exegetical, Canonical, and Thematic Approach","Bruce K. Waltke, Charles Yu",Biblical Theology,9780310218975,0310218977,"The Old Testament is more than a religious history of the nation of Israel. It is more than a portrait gallery of heroes of the faith. It is even more than a theological and prophetic backdrop to the New Testament. Beyond these, the Old Testament is inspired revelation of the very nature, character, and works of God. As renowned Old Testament scholar Bruce Waltke writes in the preface of this book, the Old Testament&#039;s every sentence is &#039;fraught with theology, worthy of reflection.&#039; This book is the result of decades of reflection informed by an extensive knowledge of the Hebrew language, the best of critical scholarship, a deep understanding of both the content and spirit of the Old Testament, and a thoroughly evangelical conviction. Taking a narrative, chronological approach to the text, Waltke employs rhetorical criticism to illuminate the theologies of the biblical narrators. Through careful study, he shows that the unifying theme of the Old Testament is the &#039;breaking in of the kingdom of God.&#039; This theme helps the reader better understand not only the Old Testament, but also the New Testament, the continuity of the entire Bible, and ultimately, God himself.",Zondervan,2007-10-09,2023-05-20,1024
42,"An Old Testament Theology: An Exegetical, Canonical, and Thematic Approach","Bruce K. Waltke, Charles Yu",Systematic Theology,9780310218975,0310218977,"The Old Testament is more than a religious history of the nation of Israel. It is more than a portrait gallery of heroes of the faith. It is even more than a theological and prophetic backdrop to the New Testament. Beyond these, the Old Testament is inspired revelation of the very nature, character, and works of God. As renowned Old Testament scholar Bruce Waltke writes in the preface of this book, the Old Testament&#039;s every sentence is &#039;fraught with theology, worthy of reflection.&#039; This book is the result of decades of reflection informed by an extensive knowledge of the Hebrew language, the best of critical scholarship, a deep understanding of both the content and spirit of the Old Testament, and a thoroughly evangelical conviction. Taking a narrative, chronological approach to the text, Waltke employs rhetorical criticism to illuminate the theologies of the biblical narrators. Through careful study, he shows that the unifying theme of the Old Testament is the &#039;breaking in of the kingdom of God.&#039; This theme helps the reader better understand not only the Old Testament, but also the New Testament, the continuity of the entire Bible, and ultimately, God himself.",Zondervan,2007-10-09,2023-05-20,1024
43,Apologetics: A Justification of Christian Belief,"John M. Frame, Joseph E. Torres - Vol Editor",Apologetics,9781596389380,1596389389,"Renowned theologian John Frame sheds much-needed light on the message and method of genuinely Christian apologetics in this landmark title. He insightfully examines apologetics in terms of proof, defense, and offense and clarifies the relationships of reason, proofs, and evidences to faith, biblical authority, and the lordship of Christ.Two subjects of particular note are Frame’s fresh look at probability arguments and a stimulating investigation into the problem of evil.Some of the most valuable elements of this book are Frame’s extensive use of Scripture and his presentation of specific lines of argument. There is also a model dialogue in the concluding chapter that shows how these lines of argument work in conversation.This is an extensively redeveloped and expanded version of Frame’s previous work, Apologetics to the Glory of God.",P &amp; R Publishing,2015-06-30,2023-05-20,384
44,Ashamed of the Gospel,John Macarthur,Christian Living,9781433566752,1433566753,"In the third edition of this top-selling book, John MacArthur challenges the seeker-sensitive, user-friendly, entertainment-oriented pragmatism that permeates the church today.In the late 1800s, Charles Spurgeon warned that the church was drifting away from the purity of the gospel, candy-coating God's Word rather than boldly proclaiming the truths of Scripture. As a result, Christianity's influence in nineteenth-century England was severely weakened. One hundred years later, John MacArthur, troubled by the seeker-sensitive movement and an emphasis on pragmatism within the church, sounded the same alarm with the first edition of Ashamed of the Gospel.In this newly revised and expanded edition, MacArthur gives an overview of developments in the seeker-sensitive movement since his book was first published in 1993. New material traces the line of pragmatic philosophy from the seeker-sensitive movement through the Emergent phenomenon, explaining why the latter is a philosophical heir of the former-and an even greater danger; chronicles the failure of pragmatic approaches to church growth; and emphasizes the importance of evangelicals solidly committed to biblical doctrine rising to positions of leadership.",Crossway,2018-12-31,2023-06-17,304
45,Backchat: Answering Christianity's Critics,Chris Sinkinson,Apologetics,9781781914069,1781914060,"You wish you had an answer, now you do. Sinkinson tackles dodgy science and Christian urban myths whilst reminding us that Christians are not called to win arguments but hearts. Darwin's death bed conversion - truth or myth? Is God a moral monster? Is this really the God particle? Is the Bible an immoral book? Who was Jesus?",Christian Focus,2014-09-20,2023-06-17,128
46,Basics of Biblical Greek Grammar,William D. Mounce,"Dictionaries, Concordance, etc.",9780310250876,0310250870,"New, updated editions of the best-selling and most widely accepted textbook and workbook for learning biblical Greek William D. Mounce&#039;s Basics of Biblical Greek Grammar and its companion tool Basics of Biblical Greek Workbook are by far the best-selling and most widely accepted textbooks for learning New Testament Greek.  These excellent tools for studying New Testament Greek are now even better. As a result of feedback from professors, the author has made adjustments to his material. For example, a chapter on clauses has been added at the end of the book. The CD-ROM is now easier to use and has even more information on it than the earlier edition. The workbook has been significantly rewritten. Nearly 50 percent of the verses are new. They are shorter and more focused on the grammar of the chapter. Features include: - Best-selling Greek language textbook - Changes from the first edition made in response to ten years of use - Grammar&#039;s CD-ROM is easier to navigate and now includes short audio summary lectures (7-9 minutes) - An appendix in the Grammar allows professors to introduce verbs earlier in the course - Two tracks in the workbook: track one allows you to go through the book in the normal order. Track two has totally different exercises that allow you to teach verbs earlier. - Workbook has 3-hole, perforated pages",Zondervan,2003-08-18,2023-06-17,456
47,Basics of Biblical Greek Workbook,William D. Mounce,"Dictionaries, Concordance, etc.",9780310250869,0310250862,"New, updated editions of the best-selling and most widely accepted textbook and workbook for learning biblical Greek. William D. Mounce&#039;s Basics of Biblical Greek Grammar and its companion tool Basics of Biblical Greek Workbook are by far the best-selling and most widely accepted textbooks for learning New Testament Greek.  These excellent tools for studying New Testament Greek are now even better. As a result of feedback from professors, the author has made adjustments to his material. For example, a chapter on clauses has been added at the end of the book. The CD-ROM is now easier to use and has even more information on it than the earlier edition. The workbook has been significantly rewritten. Nearly 50 percent of the verses are new. They are shorter and more focused on the grammar of the chapter. Features include: *Best-selling Greek language textbook *Changes from the first edition made in response to ten years of use *Grammar&#039;s CD-ROM is easier to navigate and now includes short audio summary lectures (7-9 minutes) *An appendix in the Grammar allows professors to introduce verbs earlier in the course *Two tracks in the workbook: track one allows you to go through the book in the normal order. Track two has totally different exercises that allow you to teach verbs earlier.  *Workbook has 3-hole, perforated pages",Zondervan,2003-08-18,2023-06-17,224
48,Basics of Biblical Greek: Grammar,William D. Mounce,"Dictionaries, Concordance, etc.",9780310598008,0310598001,"The Basics of Biblical Greek is an entirely new, integrated approach to teaching and learning New Testament Greek. It makes learning Greek a natural process and shows from the very beginning how an understanding of Greek helps in understanding the New Testament.",Zondervan,,2023-06-17,446
49,Be Comforted (Isaiah): Feeling Secure in the Arms of God (The BE Series Commentary),Warren W. Wiersbe,Old Testament Studies,9780896937970,0896937976,"Where Do You Turn for Comfort When . . . &bull; Circumstances frighten you?    &bull; Sin makes you feel guilty?    &bull; All your plans fall apart?    &bull; The future holds no hope?  &quot;Comfort, comfort My people!&quot; was the good news the Prophet Isaiah proclaimed     to God&#039;s people centuries ago, and his message still applies today. Isaiah not     only reveals God&#039;s prophetic plan for Israel, but also God&#039;s power and peace     for all who will trust Him. In this practical study, Warren Wiersbe shows you how God can help you: &bull; Find strength and comfort in times of trial    &bull; Conquer fear when your world is shaking    &bull; Enjoy a rich worship experience with God    &bull; Experience God&#039;s comfort and love &quot;As one whom his mother comforts, so I will comfort you&quot; is God&#039;s promise (Isaiah     66:13).",David C. Cook,1992-05-01,2023-06-17,192
50,Being God's Friend,C H Spurgeon,Christian Living,9780883683811,0883683814,"Does God have friends? Yes! To be called a friend of God is a great honor, but it is not just reserved for saints like Abraham or Moses. In this inspiring book, Spurgeon reveals God&#039;s complete love and commitment toward you, and how you can become His true and intimate friend through being devoted to Him and His ways.",Whitaker House,1997-06-01,2023-06-17,188
51,Bible: New Revised Standard Version Bible (Anglicized) with Apocrypha (Bible Nrsv) [Paperback],Various Authors,Bibles,9780191070594,0191070599,,Oxford University Press,,2023-06-17,
52,Biblia Hebraica,,"Dictionaries, Concordance, etc.",,,,,,2023-06-17,
53,Biblical Hebrew: An Introductory Grammar,Page H. Kelley,"Dictionaries, Concordance, etc.",9780802805980,0802805981,"Comprehensive in scope, this carefully crafted introductory grammar of Biblical Hebrew offers easy-to-understand explanations, numerous biblical illustrations, and a wide range of imaginative, biblically based exercises. According to Page Kelley, his book is &quot;designed not so much for seasoned travelers as for those who are just starting out on a strange and wonderful journey.&quot;The book consists of thirty-one lessons arranged as follows: the nonverbal aspects of the language (lessons 1-10); the verb forms and their functions, with special attention to the strong verbs (lessons 11-20); the coordinate relationship of verbs, a topic alluded to but seldom developed in other grammars (lesson 21); and a comprehensive introduction to each of the ten classes of weak verbs (lessons 22-31). The grammar is accompanied by eleven complete verb charts, an extensive vocabulary list, a glossary of grammatical terms, and a subject index.Kelley employs a method that one reviewer has described as a cross between a straight presentation of grammatical principles and rules and a semi-inductive presentation of concepts through the exercises. Each lesson first presents new grammatical concepts, with biblical examples, and then provides reinforcing exercises that Kelley has judiciously selected from the biblical text (the exercises do not presuppose vocabulary and grammar not already covered).Deriving from the author&#039;s forty years of experience in teaching Biblical Hebrew to seminary students, and enthusiastically employed in its developing stages by instructors at a variety of colleges and seminaries, Kelley&#039;s Biblical Hebrew: An Introductory Grammar promises to be an excellent teaching tool with high potential as a textbook. Kelly has designed it for use in either a one-semester or a two-semester course.",Wm. B. Eerdmans Publishing Company,1992-04-24,2023-06-17,453
54,Biblical Theology,Geerhardus Vos,Biblical Theology,9781848714328,1848714327,To read these pages- the fruit of Vos&#039;s 39 years of teaching biblical theology at Princeton- is to appreciate the late John Murray&#039;s suggestion that Geerhardus Vos was the most incisive exegete in the English-speaking world of the twentieth century.,Banner of Truth,2014-05-28,2023-06-17,440
55,Biblical Theology,"Nick Roark, Robert Cline",IX 9 Marks Series,9781433556067,1433556065,"In response to various kinds of false teaching around the world, this book is an exhortation for churches to use biblical theology to help guard the true gospel.",Crossway,2018-03-31,2023-06-17,160
56,Built upon the Rock: The Church (9Marks Healthy Church Study Guides),Bobby Jamieson,IX 9 Marks Series,9781433525247,1433525240,"The local church is meant to be living, growing, distinct, and God-glorifying. Yet many disagree about what a church really is and what it should look like. This study works through seven biblical aspects of the church and, in so doing, helps participants to discover a big-picture vision of the church.A series of ten 6&ndash;7 week studies covering the nine distinctives of a healthy church as originally laid out in Nine Marks of a Healthy Church by Mark Dever. This series explores the biblical foundations of key aspects of the church, helping Christians to live out those realities as members of a local body. Conveniently packaged and accessibly written, the format of this series is guided, inductive discussion of Scripture passages and is ideal for use in Sunday school, church-wide studies, or small group contexts.",Crossway,2012-04-30,2023-06-17,64
